Year,Month,지역,local_id,가정용,업무용,산업용
2022,05,충  남,34,230409,639612,3089143
2022,05,전  북,35,187318,445124,1037715
2022,05,전  남,36,187263,524621,2068173
2022,05,경  북,37,271067,798758,2581108
2022,05,경  남,38,349240,792825,1614974
2022,05,제  주,39,67546,232275,152356
2022,06,서  울,11,1084938,2603546,119384
2022,06,부  산,21,374568,743916,604517
2022,06,대  구,22,271074,548040,468647
2022,06,인  천,23,346122,690766,933361
2022,06,광  주,24,166889,311626,239049
2022,06,대  전,25,157946,436613,198524
2022,06,울  산,26,122153,319147,2169075
2022,06,세  종,29,46961,99191,155215
2022,06,경  기,31,1562740,3547743,5748616
2022,06,강  원,32,170498,568083,561801
2022,06,충  북,33,176904,491601,1647243
2022,06,충  남,34,237724,644700,3123150
2022,06,전  북,35,190849,465969,1065132
2022,06,전  남,36,190956,547418,2009502
2022,06,경  북,37,281274,806426,2484777
2022,06,경  남,38,359061,841544,1621758
2022,06,제  주,39,69758,249960,138580
2022,07,서  울,11,1401278,3094563,136249
2022,07,부  산,21,462714,858680,623586
2022,07,대  구,22,352692,645668,497051
2022,07,인  천,23,442033,810080,1020802
2022,07,광  주,24,210801,371045,256952
2022,07,대  전,25,200021,512362,218035
2022,07,울  산,26,149526,358776,2393895
2022,07,세  종,29,55278,112612,165726
2022,07,경  기,31,1974596,4071731,6505491
2022,07,강  원,32,200698,613072,577882
2022,07,충  북,33,222445,548535,1787573
2022,07,충  남,34,293100,684258,3315366
2022,07,전  북,35,231331,535829,1117737
2022,07,전  남,36,234964,629083,2122834
2022,07,경  북,37,353676,895593,2640542
2022,07,경  남,38,452182,947066,1695533
2022,07,제  주,39,97702,300188,133667
2022,08,서  울,11,1660450,3272563,140582
2022,08,부  산,21,565657,925959,597182
2022,08,대  구,22,403228,661041,468468
2022,08,인  천,23,530130,861267,970166
2022,08,광  주,24,250701,391060,250253
2022,08,대  전,25,238299,525858,208832
2022,08,울  산,26,181410,378273,2342449
2022,08,세  종,29,72012,117073,161995
2022,08,경  기,31,2345949,4316065,6264636
2022,08,강  원,32,234460,650473,574191
2022,08,충  북,33,263511,569315,1743770
2022,08,충  남,34,353235,747557,3256771
2022,08,전  북,35,276791,565002,1087609
2022,08,전  남,36,281917,674984,2135739
2022,08,경  북,37,398866,922735,2564086
2022,08,경  남,38,541131,1012147,1609490
2022,08,제  주,39,122779,329717,144208
2022,09,서  울,11,1321934,2843930,127321
2022,09,부  산,21,477572,817251,560512
2022,09,대  구,22,329788,573367,455288
2022,09,인  천,23,429158,761505,929772
2022,09,광  주,24,216161,355096,235630
2022,09,대  전,25,202773,462900,192578
2022,09,울  산,26,158966,360865,2220211
2022,09,세  종,29,66933,106465,156035
2022,09,경  기,31,1909497,3807222,5918737
2022,09,강  원,32,200722,584107,564596
2022,09,충  북,33,220629,520498,1649908
2022,09,충  남,34,298896,704039,3056592
2022,09,전  북,35,239152,514988,1035827
2022,09,전  남,36,239998,611140,2036556
2022,09,경  북,37,330008,830650,2236527
2022,09,경  남,38,441996,912380,1567319
2022,09,제  주,39,100256,288988,133531
2022,10,서  울,11,1085740,2412087,110496
2022,10,부  산,21,381108,706122,577513
2022,10,대  구,22,261969,495332,453686
2022,10,인  천,23,354052,666978,889904
2022,10,광  주,24,170660,299008,221910
2022,10,대  전,25,159921,405314,190347
2022,10,울  산,26,123131,331858,2138119
2022,10,세  종,29,49478,97343,151812
2022,10,경  기,31,1584554,3383310,5818448
